74;Звёздные войны. Эпизод VI: Возвращение джедая;1983;Ричард Маркуанд;боевик, приключение, фэнтези, научная фантастика
75;Храброе сердце;1995;Мел Гибсон;биография, драма, исторический фильм, военный фильм
76;Бешеные псы;1992;Квентин Тарантино;детектив, драма, триллер
77;М;1931;Фриц Ланг;детектив, драма, таинственный фильм, триллер
78;Реквием по мечте;2000;Даррен Аронофски;драма
79;Амели;2001;Жан-Пьер Жене;комедия, мелодрама
80;Дюнкерк;2017;Кристофер Нолан;боевик, драма, исторический фильм, триллер, военный фильм
81;Звёздочки на земле;2007;Аамир Хан;драма, семейный фильм
82;Заводной апельсин;1971;Стэнли Кубрик;детектив, драма, научная фантастика
83;Твоё имя;2016;Макото Синкай;мультфильм, драма, фэнтези, мелодрама
84;Лоуренс Аравийский;1962;Дэвид Лин;приключение, биография, драма, исторический фильм, военный фильм
85;Двойная страховка;1944;Билли Уайлдер;детектив, драма, нуар, таинственный фильм, триллер
86;Таксист;1976;Мартин Скорсезе;детектив, драма
87;Амадей;1984;Милош Форман;биография, драма, исторический фильм, музыкальный фильм
88;Вечное сияние чистого разума;2004;Мишель Гондри;драма, мелодрама, научная фантастика
89;Убить пересмешника;1962;Роберт Маллиган;детектив, драма
90;Цельнометаллическая оболочка;1987;Стэнли Кубрик;драма, военный фильм
91;Космическая одиссея 2001 года;1968;Стэнли Кубрик;приключение, научная фантастика
92;Поющие под дождём;1952;Стэнли Донен, Джин Келли;комедия, музыкальный фильм, мелодрама
93;История игрушек: Большой побег;2010;Ли Анкрич;мультфильм, приключение, комедия, семейный фильм, фэнтези
94;Афера;1973;Джордж Рой Хилл;комедия, детектив, драма
95;История игрушек;1995;Джон Лассетер;мультфильм, приключение, комедия, семейный фильм, фэнтези
96;3 идиота;2009;Раджкумар Хирани;приключение, комедия, драма, мелодрама
97;Похитители велосипедов;1948;Витторио де Сика;драма
98;Бесславные ублюдки;2009;Квентин Тарантино;приключение, драма, военный фильм
99;Малыш;1921;Чарли Чаплин;комедия, драма, семейный фильм
100;Большой куш;2000;Гай Ричи;комедия, детектив
101;Монти Пайтон и Священный Грааль;1975;Терри Гиллиам, Терри Джонс;приключение, комедия, фэнтези
102;На несколько долларов больше;1965;Серджо Леоне;вестерн
103;Умница Уилл Хантинг;1997;Гас Ван Сент;драма
104;Секреты Лос-Анджелеса;1997;Кёртис Хэнсон;детектив, драма, таинственный фильм, триллер
105;Охота;2012;Томас Винтерберг;драма
106;Лицо со шрамом;1983;Брайан де Пальма;детектив, драма
107;Квартира;1960;Билли Уайлдер;комедия, драма, мелодрама
108;Расёмон;1950;Акира Куросава;детектив драма, таинственный фильм
109;Метрополис;1927;Фриц Ланг;драма, научная фантастика
110;Развод Надера и Симин;2011;Асгар Фархади;драма, таинственный фильм
111;Индиана Джонс и последний крестовый поход;1989;Стивен Спилберг;боевик, приключение, фэнтези
112;Мой отец и мой сын;2005;Чаган Ырмак;драма
113;Всё о Еве;1950;Джозеф Лео Манкевич;драма
114;Телохранитель;1961;Акира Куросава;боевик, драма, триллер
115;Бэтмен: Начало;2005;Кристофер Нолан;боевик, приключение, триллер
116;Вверх;2009;Пит Доктер;мультфильм, приключение, комедия, семейный фильм
117;В джазе только девушки;1959;Билли Уайлдер;комедия, мелодрама
118;Сокровища Сьерра-Мадре;1948;Джон Хьюстон;приключение, драма, вестерн
119;Непрощённый;1992;Клинт Иствуд;драма, вестерн
120;Бункер;2004;Оливер Хиршбигель;биография, драма, исторический фильм, военный фильм
121;Крепкий орешек;1988;Джон Мактирнан;боевик, детектив, триллер
122;Бешеный бык;1980;Мартин Скорсезе;драма, биография, Спортивный фильм
123;Схватка;1995;Майкл Манн;детектив, триллер, драма
124;Дети небес;1997;Маджид Маджиди;драма, семейный фильм
125;Третий человек;1949;Кэрол Рид;нуар, триллер, таинственный фильм
126;Большой побег;1963;Джон Стёрджес;приключение, драма, исторический фильм
127;Китайский квартал;1974;Роман Полански;детектив, драма, таинственный фильм
128;Жить;1952;Акира Куросава;драма
